ura_carpark_name,type_of_lot,number_of_lots
LORONG 39 SERVICE ROAD GEYLANG,Motor Car,5
LORONG 4 GEYLANG,Motor Car,13
LORONG 40 GEYLANG,Motor Car,21
LORONG 41 GEYLANG,Motor Car,44
LORONG 6 GEYLANG,Motor Car,26
LORONG 7 GEYLANG,Motor Car,12
LORONG 8 GEYLANG,Motor Car,31
LORONG 9 GEYLANG,Motor Car,11
LORONG 9/11 GEYLANG OFF STREET,Motor Car,56
LORONG BACHOK,Motor Car,13
LORONG BACHOK OFF STREET,Motor Car,25
LORONG TAHAR,Motor Car,2
SERVICE ROAD OFF LORONG 44 GEYLANG,Motor Car,5
SIMS AVENUE (BET LOR 3 GEYLANG/PAYA LEBAR RD),Motor Car,132
SIMS AVENUE SERVICE ROAD,Motor Car,16
SIMS PLACE,Motor Car,43
TALMA ROAD,Motor Car,15
TANJONG KATONG COMPLEX,Motor Car,378
WESTERHOUT ROAD,Motor Car,6
GUL AVENUE,Motor Car,46
GUL CIRCLE,Motor Car,39
GUL CRESCENT,Motor Car,8
GUL DRIVE,Motor Car,39
GUL LANE,Motor Car,21
GUL ROAD,Motor Car,99
GUL STREET 1,Motor Car,4
GUL STREET 2,Motor Car,6
GUL STREET 3,Motor Car,16
GUL STREET 4,Motor Car,10
GUL STREET 5,Motor Car,9
DELTA CIRCUS FRINGE CAR PARK,Motor Car,74
HAVELOCK ROAD,Motor Car,40
OUTRAM HILL,Motor Car,11
OUTRAM ROAD,Motor Car,27
OUTRAM ROAD OFF STREET,Motor Car,39
PEARL BANK OFF STREET,Motor Car,22
ARMENIAN ST / CANNING RISE OFF ST CAR PARK,Motor Car,43
ARMENIAN STREET,Motor Car,10
ARMENIAN STREET OFF STREET,Motor Car,52
CANNING RISE OFF STREET,Motor Car,37
FORT CANNING PARK A OFF STREET,Motor Car,42
FORT CANNING PARK B OFF STREET,Motor Car,39
FORT CANNING PARK C OFF STREET,Motor Car,58
HOLLAND DR/NORTH BOUNA VISTA RD OFF STREET,Motor Car,84
HOLLAND DRIVE OFF STREET,Motor Car,271
JALAN HITAM MANIS,Motor Car,19
JALAN KELABU ASAP,Motor Car,18
JALAN KUNING,Motor Car,4
JALAN MERAH SAGA,Motor Car,30
JALAN PUTEH JERNEH,Motor Car,4
JALAN RUMIA,Motor Car,29
WARNA ROAD,Motor Car,15
WARNA ROAD OFF STREET,Motor Car,42
ALIWAL STREET,Motor Car,69
ALLENBY ROAD,Motor Car,16
BABOO LANE,Motor Car,0
BACKLANE BET KELANTAN LANE/KELANTAN ROAD,Motor Car,0
BACKLANE BET KITCHENER ROAD/PLUMER ROAD,Motor Car,0
BACKLANE BET TOWNSHEND ROAD/JALAN BESAR,Motor Car,0
BACKLANE OFF CAVAN ROAD,Motor Car,0
BACKLANE OFF JALAN BERSEH,Motor Car,0
BEATTY LANE,Motor Car,15
CAVAN ROAD,Motor Car,13
FOCH ROAD,Motor Car,37
HAMILTON ROAD,Motor Car,54
HAMILTON ROAD OFF STREET,Motor Car,22
HORNE ROAD,Motor Car,34
JALAN BERSEH,Motor Car,34
JALAN BESAR,Motor Car,37
JALAN BESAR SPORTS COMPLEX (SSC),Motor Car,340
JELLICOE ROAD,Motor Car,10
KALLANG ROAD/CRAWFORD STREET OFF STREET,Motor Car,201
KELANTAN LANE,Motor Car,21
KELANTAN ROAD,Motor Car,72
KING GEORGE'S AVENUE OFF STREET,Motor Car,22
KING GEORGE'S AVENUE/ HORNE ROAD OFF STREET,Motor Car,60
MAUDE ROAD,Motor Car,31
PENHAS ROAD,Motor Car,23
PENHAS ROAD / LAVENDER STREET OFF STREET,Motor Car,29
PETAIN ROAD (JALAN BESAR / TYRWHITT ROAD),Motor Car,4
PLUMER ROAD,Motor Car,11
SERVICE ROAD BET HAMILTON RD/CAVAN RD,Motor Car,11
SERVICE ROAD BETWEEN PETAIN RD/ALLENBY RD,Motor Car,3
SERVICE ROAD OFF KING GEORGE'S AVENUE,Motor Car,21
SERVICE ROAD OFF PENHAS ROAD,Motor Car,9
SUNGEI ROAD OFF STREET,Motor Car,195
SUNGEI ROAD(WELD ROAD/ KELANTAN ROAD),Motor Car,7
TOWNSHEND ROAD,Motor Car,18
TYRWHITT ROAD,Motor Car,32
JOO KOON CIRCLE,Motor Car,42
JOO KOON CRESCENT,Motor Car,26
JOO KOON ROAD,Motor Car,15
JOO KOON WAY,Motor Car,30
SCIENCE CENTRE ROAD,Motor Car,34
TOH GUAN ROAD,Motor Car,5
BOON LAY SWIMMING COMPLEX (SSC),Motor Car,44
BULIM AVENUE HVP,Motor Car,0
JALAN BAHAR HEAVY VEHICLE PARK,Motor Car,8
32 TO 53 KALLANG PLACE (JTC),Motor Car,52
ALJUNIED ROAD (MINOR),Motor Car,19
BENDEMEER ROAD HEAVY VEHICLE PARK,Motor Car,19
GENTING LANE,Motor Car,44
GENTING LANE OFF STREET,Motor Car,40
GENTING LINK,Motor Car,2
GENTING ROAD,Motor Car,26
JALAN LEMBAH KALLANG,Motor Car,8
KALLANG AVENUE,Motor Car,80
KALLANG BAHRU,Motor Car,5
KALLANG BASIN SWIMMING COMPLEX (SSC),Motor Car,25
KALLANG SECTOR,Motor Car,48
KALLANG WAY,Motor Car,6
KALLANG WAY 1,Motor Car,7
KALLANG WAY 2A,Motor Car,17
KEMPAS ROAD,Motor Car,26
LORONG BAKAR BATU,Motor Car,50
LORONG PENDEK,Motor Car,4
SERVICE ROAD OFF GENTING LANE,Motor Car,6
SOON WING ROAD,Motor Car,10
TANNERY LANE,Motor Car,37
KALLANG SPORTS COMPLEX CAR PARK 4(SSC),Motor Car,694
KALLANG SPORTS COMPLEX CAR PARK 5(SSC),Motor Car,1473
KATONG SWIMMING POOL (SSC),Motor Car,21
OLD AIRPORT ROAD,Motor Car,16
WILKINSON ROAD,Motor Car,10
BACKLANE OFF BLAIR RD/ SPOTTISWOODE PARK ROAD,Motor Car,0
BLAIR ROAD,Motor Car,42
EVERTON ROAD,Motor Car,13
HOSPITAL DRIVE CAR PARK B OFF STREET,Motor Car,88
KEPPEL ROAD OFF STREET,Motor Car,105
SERVICE ROAD OFF EVERTON ROAD,Motor Car,6
SPOTTISWOODE PARK ROAD,Motor Car,10
ARAB STREET,Motor Car,95
BACKLANE BET ARAB STREET/JALAN PINANG,Motor Car,0
BACKLANE BET BAGHDAD STREET/MUSCAT STREET,Motor Car,0
BACKLANE BET JALAN SULTAN/ALIWAL STREET,Motor Car,0
BACKLANE OFF BAGHDAD STREET,Motor Car,0
BACKLANE OFF NORTH BRIDGE ROAD,Motor Car,0
BAGHDAD STREET,Motor Car,21
BAGHDAD STREET OFF STREET,Motor Car,22
BALI LANE,Motor Car,6
BEACH ROAD,Motor Car,15
BUSSORAH STREET,Motor Car,13
JALAN KLAPA,Motor Car,16
JALAN KLEDEK,Motor Car,8
JALAN KLEDEK OFF STREET,Motor Car,6
JALAN KUBOR (NORTH BRIDGE RD/VICTORIA ST),Motor Car,15
JALAN KUBOR (VICTORIA ST/ROCHOR CANAL RD),Motor Car,30
JALAN PINANG,Motor Car,10
JALAN PISANG,Motor Car,6
JALAN SULTAN,Motor Car,23
KANDAHAR STREET,Motor Car,47
NORTH BRIDGE ROAD (ARAB/JALAN SULTAN),Motor Car,32
NORTH BRIDGE ROAD MARKET OFF STREET,Motor Car,56
NORTH BRIDGE ROAD OFF STREET,Motor Car,92
PAHANG STREET,Motor Car,26
PAHANG STREET OFF STREET,Motor Car,32
SERVICE ROAD OFF ALIWAL STREET,Motor Car,7
SULTAN GATE,Motor Car,25
SULTAN GATE / ALIWAL STREET COACH PARK,Motor Car,0
SULTAN GATE / ALIWAL STREET OFF STREET,Motor Car,53
231-287 KRANJI ROAD (JTC),Motor Car,90
SUNGEI KADUT AVENUE,Motor Car,7
SUNGEI KADUT CRESCENT,Motor Car,9
SUNGEI KADUT DRIVE,Motor Car,38
SUNGEI KADUT LOOP,Motor Car,11
SUNGEI KADUT STREET 1,Motor Car,59
SUNGEI KADUT STREET 3,Motor Car,22
SUNGEI KADUT WAY,Motor Car,56
ANN SIANG ROAD,Motor Car,26
BACKLANE BET ANN SIANG ROAD/ERSKINE ROAD,Motor Car,0
BACKLANE BET CARPENTER /UPPER CIRCULAR ROAD,Motor Car,0
BACKLANE BET HONGKONG ST/CARPENTER STREET,Motor Car,0
BACKLANE BET JIAK CHUAN RD/TECK LIM ROAD,Motor Car,0
BACKLANE BET KEONG SAIK ROAD/NEIL ROAD,Motor Car,0
BACKLANE BET KEONG SAIK/NEW BRIDGE ROAD,Motor Car,0
BACKLANE BET TEMPLE STREET/PAGODA STREET,Motor Car,0
BACKLANE BET TEMPLE STREET/SMITH STREET,Motor Car,0
BACKLANE BET UPPER CROSS ST/MOSQUE STREET,Motor Car,0
BACKLANE OFF BUKIT PASOH ROAD,Motor Car,0
BACKLANE OFF GEMMILL LANE,Motor Car,0
BACKLANE OFF KEONG SAIK ROAD,Motor Car,0
BACKLANE OFF MOHD ALI LANE/ANN SIANG HILL,Motor Car,0
BACKLANE OFF SMITH STREET,Motor Car,0
BACKLANE OFF TECK LIM ROAD,Motor Car,0
BANDA STREET,Motor Car,11
BANDA STREET / SAGO LANE OFF STREET,Motor Car,60
BUKIT PASOH ROAD,Motor Car,43
CARPENTER STREET,Motor Car,35
CARPENTER STREET OFF STREET,Motor Car,69
CLUB STREET,Motor Car,29
CLUB STREET OFF STREET,Motor Car,87
DUXTON HILL OFF STREET,Motor Car,58
GEMMILL LANE,Motor Car,7
HONG KONG STREET,Motor Car,29
HONG LIM PARK OFF STREET,Motor Car,23
JIAK CHUAN ROAD,Motor Car,14
KEONG SAIK ROAD,Motor Car,68
MND COMPLEX (BASEMENT),Motor Car,506
MND COMPLEX (SURFACE),Motor Car,103
MOSQUE STREET,Motor Car,61
NEIL ROAD,Motor Car,7
NEIL ROAD OFF STREET,Motor Car,15
NEW MARKET ROAD,Motor Car,4
NORTH CANAL ROAD,Motor Car,24
TECK LIM ROAD,Motor Car,14
TEMPLE STREET,Motor Car,61
TEO HONG ROAD,Motor Car,17
TEO HONG ROAD / NEW BRIDGE ROAD OFF STREET,Motor Car,31
UPPER CIRCULAR ROAD,Motor Car,22
UPPER HOKKIEN STREET,Motor Car,31
FIFTH LOK YANG ROAD,Motor Car,14
FIRST LOK YANG ROAD,Motor Car,44
FOURTH LOK YANG ROAD,Motor Car,23
LOK YANG WAY,Motor Car,119
NEYTHAL ROAD,Motor Car,55
SECOND LOK YANG ROAD,Motor Car,22
SIXTH LOK YANG ROAD,Motor Car,21
THIRD LOK YANG ROAD,Motor Car,30
LOYANG CRESCENT,Motor Car,34
BURN ROAD,Motor Car,15
CIRCUIT ROAD,Motor Car,67
HAPPY AVENUE NORTH,Motor Car,11
HARRISON ROAD,Motor Car,6
HARVEY ROAD,Motor Car,8
HOWARD ROAD,Motor Car,9
IRVING PLACE,Motor Car,14
IRVING ROAD,Motor Car,6
JALAN ANGGEREK,Motor Car,21
JALAN MESIN,Motor Car,8
JOO SENG ROAD,Motor Car,20
KAMPONG AMPAT,Motor Car,14
LITTLE ROAD,Motor Car,6
MACPHERSON ROAD,Motor Car,28
MACTAGGART ROAD,Motor Car,10
PHENG GECK AVENUE,Motor Car,32
PUAY HEE AVENUE,Motor Car,11
SERVICE ROAD OFF MACPHERSON ROAD,Motor Car,28
SHAW ROAD,Motor Car,15
SIAK KEW AVENUE,Motor Car,4
SIANG KUANG AVENUE,Motor Car,13
TAI THONG CRESCENT,Motor Car,39
UPPER ALJUNIED LINK OFF-ST,Motor Car,15
UPPER PAYA LEBAR ROAD SERVICE ROAD,Motor Car,11
BAYFRONT AVENUE OFF STREET,Motor Car,251
DEVONSHIRE ROAD,Motor Car,9
DUBLIN ROAD,Motor Car,7
EMERALD HILL ROAD,Motor Car,31
EMERALD LINK,Motor Car,16
GRANGE ROAD / SOMERSET ROAD OFF STREET,Motor Car,118
HULLET ROAD,Motor Car,4
HULLET ROAD OFF STREET,Motor Car,26
KILLINEY ROAD,Motor Car,27
LLOYD ROAD,Motor Car,14
PENANG LANE,Motor Car,16
PENANG ROAD OFF STREET,Motor Car,19
SAUNDERS ROAD,Motor Car,33
PANDAN AVENUE,Motor Car,16
PANDAN CRESCENT,Motor Car,8
PANDAN GARDENS,Motor Car,0
PANDAN LOOP,Motor Car,60
PANDAN ROAD,Motor Car,91
TEBAN GARDENS CRESCENT,Motor Car,106
CLEMENTI STADIUM (SSC),Motor Car,26
JALAN MAS KUNING,Motor Car,25
JALAN MAS PUTEH,Motor Car,23
JALAN PELEPAH OFF STREET,Motor Car,54
NEO PEE TECK LANE,Motor Car,4
PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,Motor Car,76
PASIR PANJANG FOOD CENTRE OFF STREET,Motor Car,61
PASIR PANJANG ROAD,Motor Car,7
PASIR PANJANG ROAD / LABRADOR VILLA ROAD,Motor Car,24
PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,Motor Car,26
PASIR PANJANG ROAD OFF STREET,Motor Car,22
PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,Motor Car,48
PEPYS ROAD OFF STREET,Motor Car,32
TAMAN MAS MERAH,Motor Car,13
WEST COAST PARK 1 OFF STREET,Motor Car,58
WISHART ROAD,Motor Car,38
LOYANG DRIVE,Motor Car,30
LOYANG LANE,Motor Car,26
LOYANG STREET,Motor Car,18
LOYANG WAY,Motor Car,69
LOYANG WAY 1,Motor Car,10
PASIR RIS CLOSE OFF STREET,Motor Car,302
PASIR RIS DRIVE 1 HEAVY VEHICLE PARK,Motor Car,0
PASIR RIS PARK CAR PARK E OFF STREET,Motor Car,27
TAMPINES INDUSTRIAL AVENUE 3,Motor Car,18
PENJURU CLOSE,Motor Car,11
TANJONG PENJURU CRESCENT,Motor Car,11
JALAN SAMULUN OFF STREET (JTC),Motor Car,30
PIONEER SECTOR 1,Motor Car,121
PIONEER SECTOR 2,Motor Car,77
PIONEER SECTOR 3,Motor Car,18
PIONEER SECTOR WALK,Motor Car,29
SERVICE ROAD OFF TEBING LANE,Motor Car,22
TEBING LANE,Motor Car,10
CHANG CHARN ROAD,Motor Car,13
HOY FATT ROAD,Motor Car,3
JALAN PENJARA,Motor Car,17
JALAN PENJARA OFF STREET,Motor Car,43
KUNG CHONG ROAD,Motor Car,33
LENG KEE ROAD,Motor Car,26
MARGARET DRIVE OFF STREET,Motor Car,52
QUEEN'S CRESCENT HEAVY VEHICLE PARK,Motor Car,0
QUEENSTOWN SPORTS COMPLEX (SSC),Motor Car,18
QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),Motor Car,71
TANGLIN HALT CLOSE,Motor Car,37
CLEMENCEAU AVENUE OFF STREET,Motor Car,31
KELLOCK ROAD,Motor Car,28
KIM YAM ROAD,Motor Car,28
MARTIN PLACE/ MUTHURAMAN CHETTY ROAD,Motor Car,25
MOHAMED SULTAN ROAD,Motor Car,88
MOHD SULTAN ROAD/RIVER VALLEY ROAD OFF STREET,Motor Car,18
RIVER VALLEY ROAD(BET TANK RD/ZION RD),Motor Car,3
SERVICE ROAD OFF ZION ROAD,Motor Car,21
TAN TYE PLACE,Motor Car,0
TANK ROAD,Motor Car,18
UNITY STREET,Motor Car,20
ZION CLOSE,Motor Car,8
ZION ROAD,Motor Car,25
ZION ROAD OFF STREET,Motor Car,12
BACKLANE BET MIDDLE ROAD/LIANG SEAH STREET,Motor Car,0
BACKLANE OFF PURVIS STREET,Motor Car,0
BACKLANE OFF SEAH STREET,Motor Car,0
CHENG YAN PLACE,Motor Car,4
LIANG SEAH STREET,Motor Car,48
LIANG SEAH STREET OFF STREET,Motor Car,50
MACKENZIE ROAD,Motor Car,6
MACKENZIE ROAD A OFF STREET,Motor Car,111
MACKENZIE ROAD B OFF STREET,Motor Car,82
MACKENZIE ROAD C OFF STREET,Motor Car,6
MANILA STREET,Motor Car,6
MAYNE ROAD,Motor Car,6
MIDDLE ROAD OFF STREET,Motor Car,13
MOUNT EMILY ROAD,Motor Car,2
NIVEN ROAD,Motor Car,15
PRINSEP STREET (MIDDLE/ROCHOR CANAL),Motor Car,47
PURVIS STREET,Motor Car,44
QUEEN STREET,Motor Car,6
QUEEN STREET (ARAB STREET / ROCHOR ROAD),Motor Car,22
