ura_carpark_name,type_of_lot,number_of_lots
15 WOODLANDS LOOP / 22 WOODLANDS LINK (JTC),Motor Cycle,283
MARSILING CRESCENT,Motor Cycle,0
MARSILING CRESCENT HEAVY VEHICLE PARK,Motor Cycle,0
RIVERSIDE ROAD,Motor Cycle,0
WOODLANDS AVE 9 (WOODLANDS AVE 8/LINK),Motor Cycle,0
WOODLANDS INDUSTRIAL PARK E 1,Motor Cycle,0
WOODLANDS INDUSTRIAL PARK E 3,Motor Cycle,0
WOODLANDS INDUSTRIAL PARK E 5,Motor Cycle,0
WOODLANDS INDUSTRIAL PARK E 6,Motor Cycle,0
WOODLANDS INDUSTRIAL PARK E 8,Motor Cycle,0
WOODLANDS INDUSTRIAL PARK E 9,Motor Cycle,0
WOODLANDS LINK,Motor Cycle,0
WOODLANDS LOOP,Motor Cycle,0
WOODLANDS SECTOR 1,Motor Cycle,0
WOODLANDS TERRACE,Motor Cycle,0
WOODLANDS WALK,Motor Cycle,0
SERVICE ROAD OFF JALAN SELASEH,Motor Cycle,5
GOODLINK PARK / JALAN MATA AYER OFF STREET,Motor Cycle,7
YISHUN AVENUE 1,Motor Cycle,0
"YISHUN AVENUE 1 (FROM BLK 433,LOTS SL1-SL88)",Motor Cycle,0
YISHUN AVENUE 7,Motor Cycle,0
YISHUN AVENUE 7 HEAVY VEHICLE PARK,Motor Cycle,0
YISHUN INDUSTRIAL PARK A,Motor Cycle,14
YISHUN SPORTS COMPLEX (SSC),Motor Cycle,40
YISHUN SWIMMING COMPLEX (SSC),Motor Cycle,6
ANG MO KIO AVENUE 1 HEAVY VEHICLE PARK,Heavy Vehicle,65
ANG MO KIO STREET 62,Heavy Vehicle,0
ANG MO KIO STREET 63,Heavy Vehicle,0
ANG MO KIO STREET 64,Heavy Vehicle,0
JALAN KAYU OFF STREET,Heavy Vehicle,0
SELETAR AEROSPACE VIEW,Heavy Vehicle,0
AYER RAJAH CRESCENT,Heavy Vehicle,0
BALESTIER ROAD,Heavy Vehicle,0
BHAMO ROAD,Heavy Vehicle,0
BOON TECK ROAD,Heavy Vehicle,0
JALAN AMPAS,Heavy Vehicle,0
JALAN DUSUN,Heavy Vehicle,0
JALAN KEMAMAN,Heavy Vehicle,0
JALAN RAJA UDANG,Heavy Vehicle,0
JALAN RAMA RAMA,Heavy Vehicle,0
KIM KEAT CLOSE,Heavy Vehicle,0
LORONG AMPAS,Heavy Vehicle,0
MANDALAY ROAD,Heavy Vehicle,0
MARTABAN ROAD,Heavy Vehicle,0
MINBU ROAD,Heavy Vehicle,0
MINBU ROAD OFF STREET,Heavy Vehicle,0
PROME ROAD,Heavy Vehicle,0
SERVICE ROAD OFF BALESTIER ROAD,Heavy Vehicle,0
SHAN ROAD,Heavy Vehicle,0
SHREWSBURY ROAD,Heavy Vehicle,0
SHREWSBURY ROAD OFF STREET,Heavy Vehicle,0
TAN TOCK SENG LINK,Heavy Vehicle,0
BEDOK ROAD FOOD CENTRE OFF STREET,Heavy Vehicle,0
BEDOK SOUTH ROAD,Heavy Vehicle,9
BEDOK SPORTS COMPLEX (SSC),Heavy Vehicle,0
JALAN LANA,Heavy Vehicle,0
SERVICE ROAD OFF CHAI CHEE DRIVE,Heavy Vehicle,0
BENOI ROAD,Heavy Vehicle,0
BENOI SECTOR,Heavy Vehicle,0
BISHAN SPORTS COMPLEX (SSC),Heavy Vehicle,0
BRADDELL ROAD HEAVY VEHICLE PARK,Heavy Vehicle,82
JALAN BINCHANG,Heavy Vehicle,0
JALAN PEMIMPIN,Heavy Vehicle,0
SIN MING WALK,Heavy Vehicle,0
BACKLANE BET LORONG TELOK/CIRCULAR ROAD,Heavy Vehicle,0
BACKLANE BET NORTH CANAL ROAD/CIRCULAR RD,Heavy Vehicle,0
BACKLANE BET SYNAGOGUE STREET/CHURCH STREET,Heavy Vehicle,0
BACKLANE OFF SYNAGOGUE STREET,Heavy Vehicle,0
CIRCULAR ROAD,Heavy Vehicle,0
LORONG TELOK,Heavy Vehicle,0
PHILLIP STREET,Heavy Vehicle,0
BUKIT BATOK EAST AVENUE 2 HV PARK,Heavy Vehicle,212
BUKIT BATOK NATURE PARK OFF STREET,Heavy Vehicle,0
BUKIT BATOK ROAD / JURONG ROAD OFF STREET,Heavy Vehicle,531
BUKIT BATOK SWIMMING COMPLEX (SSC),Heavy Vehicle,0
HILLVIEW TERRACE,Heavy Vehicle,0
GUL STREET 5,Heavy Vehicle,0
DELTA SPORTS COMPLEX (SSC),Heavy Vehicle,0
MARITIME SQUARE D OFF STREET,Heavy Vehicle,0
PRINCE PHILIP AVENUE,Heavy Vehicle,0
SEAH IM ROAD OFF STREET,Heavy Vehicle,21
TELOK BLANGAH DRIVE HEAVY VEHICLE PARK,Heavy Vehicle,55
TELOK BLANGAH HEIGHTS,Heavy Vehicle,6
TELOK BLANGAH STREET 31,Heavy Vehicle,9
TIONG BAHRU PARK OFF STREET,Heavy Vehicle,0
ADAM ROAD / DUNEARN CLOSE OFF STREET,Heavy Vehicle,0
ADAM ROAD FOOD CENTRE OFF STREET,Heavy Vehicle,0
ANAMALAI AVENUE,Heavy Vehicle,0
ANTHONY ROAD OFF STREET,Heavy Vehicle,0
BUKIT TIMAH LINK OFF STREET,Heavy Vehicle,0
BUKIT TIMAH MARKET OFF STREET,Heavy Vehicle,0
BUKIT TIMAH ROAD,Heavy Vehicle,0
CAIRNHILL ROAD SERVICE ROAD,Heavy Vehicle,0
CLEMENCEAU AVENUE,Heavy Vehicle,0
CLEMENCEAU AVENUE NORTH (NEWTON FC),Heavy Vehicle,8
CORONATION WALK,Heavy Vehicle,0
DAIRY FARM ROAD / PETIR ROAD HV PARK,Heavy Vehicle,225
DUNEARN CLOSE,Heavy Vehicle,0
KAMPONG JAVA FRINGE CAR PARK,Heavy Vehicle,0
KAMPONG JAVA ROAD,Heavy Vehicle,0
MAKEWAY AVENUE,Heavy Vehicle,0
PRINCE OF WALES ROAD,Heavy Vehicle,0
PRINCESS OF WALES ROAD,Heavy Vehicle,0
SIXTH AVENUE,Heavy Vehicle,0
STEVENS ROAD,Heavy Vehicle,0
3 CHANGI SOUTH AVENUE 4 (JTC),Heavy Vehicle,0
"BLK 20,22,24,26,28,30 CHANGI NORTH WAY (JTC)",Heavy Vehicle,7
"BLK 49,51,55,61,65 CHANGI NORTH CRES(JTC)",Heavy Vehicle,10
CHANGI BEACH PARK CP 1,Heavy Vehicle,2
CHANGI BEACH PARK CP 2,Heavy Vehicle,0
CHANGI BEACH PARK CP 3,Heavy Vehicle,0
CHANGI BEACH PARK CP 4,Heavy Vehicle,2
CHANGI BEACH PARK CP 5,Heavy Vehicle,0
CHANGI BEACH PARK CP 6,Heavy Vehicle,0
CHANGI NORTH CRESCENT,Heavy Vehicle,0
CHANGI NORTH RISE,Heavy Vehicle,0
CHANGI NORTH STREET 1,Heavy Vehicle,0
CHANGI NORTH STREET 2,Heavy Vehicle,0
CHANGI ROAD (BET JALAN KEMBANGAN/STILL ROAD),Heavy Vehicle,0
CHANGI ROAD (BET JOO CHIAT ROAD/STILL ROAD),Heavy Vehicle,0
CHANGI ROAD / JALAN WAKAFF OFF STREET,Heavy Vehicle,0
CHANGI ROAD OFF STREET,Heavy Vehicle,0
CHANGI ROAD SERVICE ROAD,Heavy Vehicle,0
CHANGI SOUTH AVENUE 2,Heavy Vehicle,0
CHANGI SOUTH AVENUE 4,Heavy Vehicle,0
CHANGI SOUTH STREET 1,Heavy Vehicle,0
CHANGI SOUTH STREET 2,Heavy Vehicle,0
CHANGI VILLAGE ROAD,Heavy Vehicle,2
EVERITT ROAD NORTH,Heavy Vehicle,0
JALAN LAPANG,Heavy Vehicle,0
JALAN MASJID,Heavy Vehicle,0
JALAN UBI,Heavy Vehicle,0
KAMPONG EUNOS,Heavy Vehicle,0
LANGSAT ROAD,Heavy Vehicle,0
LORONG 102 CHANGI,Heavy Vehicle,0
LORONG 104 CHANGI,Heavy Vehicle,0
LORONG 105 CHANGI,Heavy Vehicle,0
LORONG 106 CHANGI,Heavy Vehicle,0
LORONG 107 CHANGI,Heavy Vehicle,0
LORONG 108 CHANGI,Heavy Vehicle,0
LORONG BEKUKONG OFF STREET,Heavy Vehicle,0
LORONG MARICAN,Heavy Vehicle,0
LORONG MARZUKI,Heavy Vehicle,0
LORONG MELAYU,Heavy Vehicle,0
LORONG MYDIN,Heavy Vehicle,0
LORONG MYDIN OFF STREET,Heavy Vehicle,0
LORONG SARINA,Heavy Vehicle,0
NETHERAVON ROAD,Heavy Vehicle,0
SERVICE ROAD OFF JALAN MASJID,Heavy Vehicle,0
SIMS AVENUE (PAYA LEBAR RD/EUNOS RD),Heavy Vehicle,0
UPPER CHANGI ROAD / BEDOK ROAD OFF STREET,Heavy Vehicle,0
45 QUALITY ROAD (JTC),Heavy Vehicle,0
CHIA PING ROAD,Heavy Vehicle,0
CHIN BEE DRIVE,Heavy Vehicle,0
CHIN BEE ROAD,Heavy Vehicle,0
FOURTH CHIN BEE ROAD,Heavy Vehicle,19
JALAN BESUT,Heavy Vehicle,0
JALAN TUKANG,Heavy Vehicle,0
JOO YEE ROAD,Heavy Vehicle,0
LINK ROAD,Heavy Vehicle,0
QUALITY ROAD,Heavy Vehicle,0
SECOND CHIN BEE ROAD,Heavy Vehicle,0
SERVICE ROAD OFF QUALITY ROAD,Heavy Vehicle,0
THIRD CHIN BEE ROAD,Heavy Vehicle,0
CHOA CHU KANG WAY,Heavy Vehicle,58
SERVICE ROAD OFF CHOA CHU KANG AVE 1,Heavy Vehicle,0
STAGMONT RING HEAVY VEHICLE PARK,Heavy Vehicle,180
WOODLANDS ROAD LORRY PARK,Heavy Vehicle,265
BACKLANE BET ONAN ROAD / JOO CHIAT ROAD,Heavy Vehicle,0
CEYLON LANE,Heavy Vehicle,0
CEYLON ROAD,Heavy Vehicle,0
CRANE ROAD,Heavy Vehicle,0
DUNMAN ROAD FOOD CENTRE OFF STREET,Heavy Vehicle,0
EAN KIAM PLACE,Heavy Vehicle,0
EAST COAST PARK E1 OFF STREET,Heavy Vehicle,0
EAST COAST PARK E2 OFF STREET,Heavy Vehicle,0
EAST COAST PARK E3 OFF STREET,Heavy Vehicle,0
EAST COAST PARK SERVICE ROAD,Heavy Vehicle,5
EAST COAST ROAD (BET FRANKEL AVE/SIGLAP RD),Heavy Vehicle,0
EAST COAST ROAD (BET SIGLAP RD/JALAN JAMAL),Heavy Vehicle,0
PENSHURST PLACE,Heavy Vehicle,0
EAST COAST ROAD (HAIG ROAD/TELOK KURAU ROAD),Heavy Vehicle,0
EVERITT ROAD,Heavy Vehicle,0
FORT ROAD/EAST COAST PARK HV PARK,Heavy Vehicle,85
JAGO CLOSE,Heavy Vehicle,0
JOO CHIAT LANE,Heavy Vehicle,0
JOO CHIAT PLACE,Heavy Vehicle,0
JOO CHIAT ROAD (CHANGI ROAD/EAST COAST ROAD),Heavy Vehicle,0
JOO CHIAT ROAD OFF STREET,Heavy Vehicle,0
JOO CHIAT TERRACE (JOO CHIAT RD/TEMBELING RD),Heavy Vehicle,0
LORONG 101 CHANGI,Heavy Vehicle,0
MARSHALL ROAD,Heavy Vehicle,0
ONAN ROAD,Heavy Vehicle,0
ONAN ROAD / JOO CHIAT ROAD OFF STREET,Heavy Vehicle,0
ONAN ROAD OFF STREET,Heavy Vehicle,0
PENNEFATHER ROAD,Heavy Vehicle,0
SERVICE ROAD OFF JOO CHIAT ROAD,Heavy Vehicle,0
SERVICE ROAD OFF ONAN ROAD,Heavy Vehicle,0
SERVICE ROAD OFF UPPER EAST COAST ROAD,Heavy Vehicle,0
SIGLAP LINK,Heavy Vehicle,15
TANJONG KATONG RD OFF ST (OPP WILKINSON RD),Heavy Vehicle,0
TANJONG KATONG ROAD OFF STREET,Heavy Vehicle,0
TELOK KURAU ROAD,Heavy Vehicle,0
TEMBELING ROAD,Heavy Vehicle,0
TEMBELING ROAD OFF STREET,Heavy Vehicle,0
UPPER EAST COAST ROAD OFF STREET,Heavy Vehicle,0
ALJUNIED ROAD OFF STREET,Heavy Vehicle,0
AROOZOO AVENUE,Heavy Vehicle,0
CEYLON ROAD OFF STREET,Heavy Vehicle,0
GEYLANG EAST SERVICE ROAD,Heavy Vehicle,0
GEYLANG EAST SWIMMING COMPLEX (SSC),Heavy Vehicle,0
GEYLANG ROAD,Heavy Vehicle,0
GUILLEMARD ROAD,Heavy Vehicle,0
JALAN AYER,Heavy Vehicle,0
KAMPONG BUGIS,Heavy Vehicle,3
KAMPONG BUGIS OFF STREET,Heavy Vehicle,0
LORONG 1 GEYLANG ROAD OFF STREET,Heavy Vehicle,0
LORONG 11 GEYLANG,Heavy Vehicle,0
LORONG 12 GEYLANG,Heavy Vehicle,0
LORONG 13 GEYLANG,Heavy Vehicle,0
LORONG 14 GEYLANG,Heavy Vehicle,0
LORONG 15 GEYLANG,Heavy Vehicle,0
LORONG 16 GEYLANG,Heavy Vehicle,0
LORONG 17 GEYLANG,Heavy Vehicle,0
LORONG 18 GEYLANG,Heavy Vehicle,0
LORONG 19 GEYLANG,Heavy Vehicle,0
LORONG 20 GEYLANG,Heavy Vehicle,0
LORONG 21 GEYLANG,Heavy Vehicle,0
LORONG 21 GEYLANG / GEYLANG ROAD OFF ST,Heavy Vehicle,0
LORONG 21 GEYLANG OFF STREET,Heavy Vehicle,0
LORONG 21A GEYLANG,Heavy Vehicle,0
LORONG 23 GEYLANG,Heavy Vehicle,0
LORONG 24 GEYLANG,Heavy Vehicle,0
LORONG 24A GEYLANG,Heavy Vehicle,0
LORONG 25 GEYLANG,Heavy Vehicle,0
LORONG 25/25A GEYLANG OFF STREET,Heavy Vehicle,0
LORONG 25A GEYLANG,Heavy Vehicle,0
LORONG 26 GEYLANG,Heavy Vehicle,0
LORONG 27 GEYLANG,Heavy Vehicle,0
LORONG 27A GEYLANG,Heavy Vehicle,0
LORONG 28 GEYLANG,Heavy Vehicle,0
LORONG 28 SERVICE ROAD GEYLANG,Heavy Vehicle,0
LORONG 29 GEYLANG,Heavy Vehicle,0
LORONG 3 GEYLANG,Heavy Vehicle,0
LORONG 30 GEYLANG,Heavy Vehicle,0
LORONG 31 GEYLANG,Heavy Vehicle,0
LORONG 31 GEYLANG OFF STREET,Heavy Vehicle,0
LORONG 32 GEYLANG,Heavy Vehicle,0
LORONG 33 GEYLANG,Heavy Vehicle,0
LORONG 34 GEYLANG,Heavy Vehicle,0
LORONG 35 GEYLANG,Heavy Vehicle,0
LORONG 36 GEYLANG,Heavy Vehicle,0
LORONG 36 GEYLANG OFF STREET,Heavy Vehicle,0
LORONG 37 GEYLANG,Heavy Vehicle,0
LORONG 37 GEYLANG OFF STREET,Heavy Vehicle,0
LORONG 38 GEYLANG,Heavy Vehicle,0
LORONG 39 GEYLANG,Heavy Vehicle,0
LORONG 39 SERVICE ROAD GEYLANG,Heavy Vehicle,0
LORONG 4 GEYLANG,Heavy Vehicle,0
LORONG 40 GEYLANG,Heavy Vehicle,0
LORONG 41 GEYLANG,Heavy Vehicle,0
LORONG 6 GEYLANG,Heavy Vehicle,0
LORONG 7 GEYLANG,Heavy Vehicle,0
LORONG 8 GEYLANG,Heavy Vehicle,0
LORONG 9 GEYLANG,Heavy Vehicle,0
LORONG 9/11 GEYLANG OFF STREET,Heavy Vehicle,0
LORONG BACHOK,Heavy Vehicle,0
LORONG BACHOK OFF STREET,Heavy Vehicle,0
LORONG TAHAR,Heavy Vehicle,0
SERVICE ROAD OFF LORONG 44 GEYLANG,Heavy Vehicle,0
SIMS AVENUE (BET LOR 3 GEYLANG/PAYA LEBAR RD),Heavy Vehicle,0
SIMS AVENUE SERVICE ROAD,Heavy Vehicle,0
SIMS PLACE,Heavy Vehicle,0
TALMA ROAD,Heavy Vehicle,0
TANJONG KATONG COMPLEX,Heavy Vehicle,11
WESTERHOUT ROAD,Heavy Vehicle,0
GUL AVENUE,Heavy Vehicle,0
GUL CIRCLE,Heavy Vehicle,0
GUL CRESCENT,Heavy Vehicle,0
GUL DRIVE,Heavy Vehicle,0
GUL LANE,Heavy Vehicle,0
GUL ROAD,Heavy Vehicle,0
GUL STREET 1,Heavy Vehicle,0
GUL STREET 2,Heavy Vehicle,0
GUL STREET 3,Heavy Vehicle,0
GUL STREET 4,Heavy Vehicle,0
DELTA CIRCUS FRINGE CAR PARK,Heavy Vehicle,157
HAVELOCK ROAD,Heavy Vehicle,0
OUTRAM HILL,Heavy Vehicle,0
OUTRAM ROAD,Heavy Vehicle,0
OUTRAM ROAD OFF STREET,Heavy Vehicle,0
PEARL BANK OFF STREET,Heavy Vehicle,0
ARMENIAN ST / CANNING RISE OFF ST CAR PARK,Heavy Vehicle,0
ARMENIAN STREET,Heavy Vehicle,0
ARMENIAN STREET OFF STREET,Heavy Vehicle,0
CANNING RISE OFF STREET,Heavy Vehicle,0
FORT CANNING PARK A OFF STREET,Heavy Vehicle,0
FORT CANNING PARK B OFF STREET,Heavy Vehicle,0
FORT CANNING PARK C OFF STREET,Heavy Vehicle,5
HOLLAND DR/NORTH BOUNA VISTA RD OFF STREET,Heavy Vehicle,0
HOLLAND DRIVE OFF STREET,Heavy Vehicle,0
JALAN HITAM MANIS,Heavy Vehicle,0
JALAN KELABU ASAP,Heavy Vehicle,0
JALAN KUNING,Heavy Vehicle,0
JALAN MERAH SAGA,Heavy Vehicle,0
JALAN PUTEH JERNEH,Heavy Vehicle,0
JALAN RUMIA,Heavy Vehicle,0
WARNA ROAD,Heavy Vehicle,0
WARNA ROAD OFF STREET,Heavy Vehicle,0
ALIWAL STREET,Heavy Vehicle,0
ALLENBY ROAD,Heavy Vehicle,0
BABOO LANE,Heavy Vehicle,0
BACKLANE BET KELANTAN LANE/KELANTAN ROAD,Heavy Vehicle,0
BACKLANE BET KITCHENER ROAD/PLUMER ROAD,Heavy Vehicle,0
BACKLANE BET TOWNSHEND ROAD/JALAN BESAR,Heavy Vehicle,0
BACKLANE OFF CAVAN ROAD,Heavy Vehicle,0
BACKLANE OFF JALAN BERSEH,Heavy Vehicle,0
BEATTY LANE,Heavy Vehicle,0
CAVAN ROAD,Heavy Vehicle,0
FOCH ROAD,Heavy Vehicle,0
HAMILTON ROAD,Heavy Vehicle,0
HAMILTON ROAD OFF STREET,Heavy Vehicle,0
HORNE ROAD,Heavy Vehicle,0
JALAN BERSEH,Heavy Vehicle,0
JALAN BESAR,Heavy Vehicle,0
JALAN BESAR SPORTS COMPLEX (SSC),Heavy Vehicle,0
JELLICOE ROAD,Heavy Vehicle,0
KALLANG ROAD/CRAWFORD STREET OFF STREET,Heavy Vehicle,0
KELANTAN LANE,Heavy Vehicle,0
KELANTAN ROAD,Heavy Vehicle,0
KING GEORGE'S AVENUE OFF STREET,Heavy Vehicle,0
KING GEORGE'S AVENUE/ HORNE ROAD OFF STREET,Heavy Vehicle,0
MAUDE ROAD,Heavy Vehicle,0
PENHAS ROAD,Heavy Vehicle,0
PENHAS ROAD / LAVENDER STREET OFF STREET,Heavy Vehicle,0
PETAIN ROAD (JALAN BESAR / TYRWHITT ROAD),Heavy Vehicle,0
PLUMER ROAD,Heavy Vehicle,0
SERVICE ROAD BET HAMILTON RD/CAVAN RD,Heavy Vehicle,0
SERVICE ROAD BETWEEN PETAIN RD/ALLENBY RD,Heavy Vehicle,0
SERVICE ROAD OFF KING GEORGE'S AVENUE,Heavy Vehicle,0
SERVICE ROAD OFF PENHAS ROAD,Heavy Vehicle,0
SUNGEI ROAD OFF STREET,Heavy Vehicle,0
SUNGEI ROAD(WELD ROAD/ KELANTAN ROAD),Heavy Vehicle,0
TOWNSHEND ROAD,Heavy Vehicle,0
TYRWHITT ROAD,Heavy Vehicle,0
JOO KOON CIRCLE,Heavy Vehicle,0
JOO KOON CRESCENT,Heavy Vehicle,0
JOO KOON ROAD,Heavy Vehicle,0
JOO KOON WAY,Heavy Vehicle,0
SCIENCE CENTRE ROAD,Heavy Vehicle,24
TOH GUAN ROAD,Heavy Vehicle,0
BOON LAY SWIMMING COMPLEX (SSC),Heavy Vehicle,0
BULIM AVENUE HVP,Heavy Vehicle,96
JALAN BAHAR HEAVY VEHICLE PARK,Heavy Vehicle,359
32 TO 53 KALLANG PLACE (JTC),Heavy Vehicle,0
ALJUNIED ROAD (MINOR),Heavy Vehicle,0
BENDEMEER ROAD HEAVY VEHICLE PARK,Heavy Vehicle,128
GENTING LANE,Heavy Vehicle,0
GENTING LANE OFF STREET,Heavy Vehicle,0
GENTING LINK,Heavy Vehicle,0
GENTING ROAD,Heavy Vehicle,0
JALAN LEMBAH KALLANG,Heavy Vehicle,0
KALLANG AVENUE,Heavy Vehicle,0
KALLANG BAHRU,Heavy Vehicle,0
KALLANG BASIN SWIMMING COMPLEX (SSC),Heavy Vehicle,0
KALLANG SECTOR,Heavy Vehicle,0
KALLANG WAY,Heavy Vehicle,0
KALLANG WAY 1,Heavy Vehicle,0
KALLANG WAY 2A,Heavy Vehicle,0
KEMPAS ROAD,Heavy Vehicle,0
LORONG BAKAR BATU,Heavy Vehicle,0
LORONG PENDEK,Heavy Vehicle,0
SERVICE ROAD OFF GENTING LANE,Heavy Vehicle,0
SOON WING ROAD,Heavy Vehicle,0
TANNERY LANE,Heavy Vehicle,0
KALLANG SPORTS COMPLEX CAR PARK 4(SSC),Heavy Vehicle,0
KALLANG SPORTS COMPLEX CAR PARK 5(SSC),Heavy Vehicle,0
KATONG SWIMMING POOL (SSC),Heavy Vehicle,0
OLD AIRPORT ROAD,Heavy Vehicle,0
WILKINSON ROAD,Heavy Vehicle,0
BACKLANE OFF BLAIR RD/ SPOTTISWOODE PARK ROAD,Heavy Vehicle,0
BLAIR ROAD,Heavy Vehicle,0
EVERTON ROAD,Heavy Vehicle,0
HOSPITAL DRIVE CAR PARK B OFF STREET,Heavy Vehicle,0
KEPPEL ROAD OFF STREET,Heavy Vehicle,0
SERVICE ROAD OFF EVERTON ROAD,Heavy Vehicle,0
SPOTTISWOODE PARK ROAD,Heavy Vehicle,0
ARAB STREET,Heavy Vehicle,0
BACKLANE BET ARAB STREET/JALAN PINANG,Heavy Vehicle,0
BACKLANE BET BAGHDAD STREET/MUSCAT STREET,Heavy Vehicle,0
SANDOWN PLACE,Heavy Vehicle,0
BACKLANE BET JALAN SULTAN/ALIWAL STREET,Heavy Vehicle,0
BACKLANE OFF BAGHDAD STREET,Heavy Vehicle,0
BACKLANE OFF NORTH BRIDGE ROAD,Heavy Vehicle,0
BAGHDAD STREET,Heavy Vehicle,0
BAGHDAD STREET OFF STREET,Heavy Vehicle,0
BALI LANE,Heavy Vehicle,0
BEACH ROAD,Heavy Vehicle,0
BUSSORAH STREET,Heavy Vehicle,0
JALAN KLAPA,Heavy Vehicle,0
JALAN KLEDEK,Heavy Vehicle,0
JALAN KLEDEK OFF STREET,Heavy Vehicle,0
JALAN KUBOR (NORTH BRIDGE RD/VICTORIA ST),Heavy Vehicle,0
JALAN KUBOR (VICTORIA ST/ROCHOR CANAL RD),Heavy Vehicle,4
JALAN PINANG,Heavy Vehicle,0
JALAN PISANG,Heavy Vehicle,0
JALAN SULTAN,Heavy Vehicle,0
KANDAHAR STREET,Heavy Vehicle,0
NORTH BRIDGE ROAD (ARAB/JALAN SULTAN),Heavy Vehicle,0
NORTH BRIDGE ROAD MARKET OFF STREET,Heavy Vehicle,9
NORTH BRIDGE ROAD OFF STREET,Heavy Vehicle,0
PAHANG STREET,Heavy Vehicle,0
PAHANG STREET OFF STREET,Heavy Vehicle,0
SERVICE ROAD OFF ALIWAL STREET,Heavy Vehicle,0
SULTAN GATE,Heavy Vehicle,0
SULTAN GATE / ALIWAL STREET COACH PARK,Heavy Vehicle,4
SULTAN GATE / ALIWAL STREET OFF STREET,Heavy Vehicle,0
231-287 KRANJI ROAD (JTC),Heavy Vehicle,2
SUNGEI KADUT AVENUE,Heavy Vehicle,0
SUNGEI KADUT CRESCENT,Heavy Vehicle,0
SUNGEI KADUT DRIVE,Heavy Vehicle,0
SUNGEI KADUT LOOP,Heavy Vehicle,0
SUNGEI KADUT STREET 1,Heavy Vehicle,9
SUNGEI KADUT STREET 3,Heavy Vehicle,0
SUNGEI KADUT WAY,Heavy Vehicle,0
ANN SIANG ROAD,Heavy Vehicle,0
BACKLANE BET ANN SIANG ROAD/ERSKINE ROAD,Heavy Vehicle,0
BACKLANE BET CARPENTER /UPPER CIRCULAR ROAD,Heavy Vehicle,0
BACKLANE BET HONGKONG ST/CARPENTER STREET,Heavy Vehicle,0
BACKLANE BET JIAK CHUAN RD/TECK LIM ROAD,Heavy Vehicle,0
BACKLANE BET KEONG SAIK ROAD/NEIL ROAD,Heavy Vehicle,0
BACKLANE BET KEONG SAIK/NEW BRIDGE ROAD,Heavy Vehicle,0
BACKLANE BET TEMPLE STREET/PAGODA STREET,Heavy Vehicle,0
BACKLANE BET TEMPLE STREET/SMITH STREET,Heavy Vehicle,0
BACKLANE BET UPPER CROSS ST/MOSQUE STREET,Heavy Vehicle,0
BACKLANE OFF BUKIT PASOH ROAD,Heavy Vehicle,0
BACKLANE OFF GEMMILL LANE,Heavy Vehicle,0
BACKLANE OFF KEONG SAIK ROAD,Heavy Vehicle,0
BACKLANE OFF MOHD ALI LANE/ANN SIANG HILL,Heavy Vehicle,0
BACKLANE OFF SMITH STREET,Heavy Vehicle,0
BACKLANE OFF TECK LIM ROAD,Heavy Vehicle,0
BANDA STREET,Heavy Vehicle,0
BANDA STREET / SAGO LANE OFF STREET,Heavy Vehicle,5
BUKIT PASOH ROAD,Heavy Vehicle,0
CARPENTER STREET,Heavy Vehicle,0
CARPENTER STREET OFF STREET,Heavy Vehicle,0
CLUB STREET,Heavy Vehicle,0
CLUB STREET OFF STREET,Heavy Vehicle,0
DUXTON HILL OFF STREET,Heavy Vehicle,0
GEMMILL LANE,Heavy Vehicle,0
HONG KONG STREET,Heavy Vehicle,7
HONG LIM PARK OFF STREET,Heavy Vehicle,0
JIAK CHUAN ROAD,Heavy Vehicle,0
KEONG SAIK ROAD,Heavy Vehicle,0
MND COMPLEX (BASEMENT),Heavy Vehicle,0
MND COMPLEX (SURFACE),Heavy Vehicle,0
MOSQUE STREET,Heavy Vehicle,1
NEIL ROAD,Heavy Vehicle,0
NEIL ROAD OFF STREET,Heavy Vehicle,0
NEW MARKET ROAD,Heavy Vehicle,0
NORTH CANAL ROAD,Heavy Vehicle,0
TECK LIM ROAD,Heavy Vehicle,0
TEMPLE STREET,Heavy Vehicle,0
TEO HONG ROAD,Heavy Vehicle,0
TEO HONG ROAD / NEW BRIDGE ROAD OFF STREET,Heavy Vehicle,0
UPPER CIRCULAR ROAD,Heavy Vehicle,0
UPPER HOKKIEN STREET,Heavy Vehicle,0
FIFTH LOK YANG ROAD,Heavy Vehicle,0
FIRST LOK YANG ROAD,Heavy Vehicle,0
FOURTH LOK YANG ROAD,Heavy Vehicle,0
LOK YANG WAY,Heavy Vehicle,0
NEYTHAL ROAD,Heavy Vehicle,0
SECOND LOK YANG ROAD,Heavy Vehicle,0
SIXTH LOK YANG ROAD,Heavy Vehicle,0
THIRD LOK YANG ROAD,Heavy Vehicle,0
LOYANG CRESCENT,Heavy Vehicle,0
BURN ROAD,Heavy Vehicle,0
CIRCUIT ROAD,Heavy Vehicle,0
HAPPY AVENUE NORTH,Heavy Vehicle,0
HARRISON ROAD,Heavy Vehicle,0
HARVEY ROAD,Heavy Vehicle,0
HOWARD ROAD,Heavy Vehicle,0
IRVING PLACE,Heavy Vehicle,0
IRVING ROAD,Heavy Vehicle,0
JALAN ANGGEREK,Heavy Vehicle,0
JALAN MESIN,Heavy Vehicle,0
JOO SENG ROAD,Heavy Vehicle,0
KAMPONG AMPAT,Heavy Vehicle,0
LITTLE ROAD,Heavy Vehicle,0
MACPHERSON ROAD,Heavy Vehicle,0
