ura_carpark_name,type_of_lot,number_of_lots,lot_type
UPPER WELD ROAD,Motor Cycle,0,Y
VEERASAMY ROAD,Motor Cycle,0,Y
VERDUN ROAD,Motor Cycle,0,Y
VERDUN ROAD OFF STREET,Motor Cycle,2,Y
BACKLANE BET BOON TAT STREET/MCCALLUM STREET,Motor Cycle,60,Y
BACKLANE BET CECIL STREET/MARKET STREET,Motor Cycle,20,Y
MARINA VIEW OFF STREET,Motor Cycle,10,Y
PALMER ROAD,Motor Cycle,22,Y
PALMER ROAD OFF STREET,Motor Cycle,5,Y
PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,Motor Cycle,14,Y
JURONG OUTDOOR FUTSAL CENTRE (SSC),Motor Cycle,15,Y
JURONG STADIUM (SSC),Motor Cycle,34,Y
CHANGI SOUTH LANE,Motor Cycle,0,Y
TAMPINES AVENUE 9/ AVENUE 10 HV PARK,Motor Cycle,0,Y
ANGULLIA PARK OFF STREET,Motor Cycle,83,Y
CLAYMORE HILL,Motor Cycle,25,Y
CLAYMORE ROAD,Motor Cycle,42,Y
BACKLANE BET CRAIG ROAD/DUXTON ROAD,Motor Cycle,22,Y
BACKLANE BET PECK SEAH STREET/TRAS STREET,Motor Cycle,18,Y
BACKLANE BET TRAS STREET/COOK STREET,Motor Cycle,18,Y
BACKLANE OFF COOK STREET,Motor Cycle,9,Y
BERNAM STREET,Motor Cycle,0,Y
COOK STREET,Motor Cycle,0,Y
DUXTON HILL,Motor Cycle,8,Y
DUXTON ROAD,Motor Cycle,0,Y
ENGGOR STREET,Motor Cycle,4,Y
PECK SEAH STREET,Motor Cycle,11,Y
PECK SEAH STREET OFF STREET,Motor Cycle,30,Y
TANJONG PAGAR ROAD,Motor Cycle,0,Y
TRAS STREET,Motor Cycle,11,Y
WALLICH STREET,Motor Cycle,0,Y
YAN KIT ROAD,Motor Cycle,0,Y
YAN KIT ROAD / CANTONMENT ROAD OFF ST,Motor Cycle,8,Y
AMOY STREET,Motor Cycle,10,Y
AMOY STREET OFF STREET,Motor Cycle,0,Y
BACKLANE BET BOON TAT STREET/AMOY STREET,Motor Cycle,16,Y
BACKLANE OFF AMOY STREET,Motor Cycle,8,Y
BACKLANE OFF BOON TAT STREET,Motor Cycle,13,Y
BACKLANE OFF MCCALLUM STREET,Motor Cycle,3,Y
BOON TAT STREET,Motor Cycle,4,Y
MCCALLUM STREET,Motor Cycle,0,Y
STANLEY STREET,Motor Cycle,10,Y
TELOK AYER STREET,Motor Cycle,46,Y
JALAN GELENGGANG,Motor Cycle,0,Y
JALAN KURAS,Motor Cycle,0,Y
SIN MING DRIVE,Motor Cycle,0,Y
SIN MING DRIVE OFF STREET,Motor Cycle,20,Y
SIN MING ROAD HEAVY VEHICLE PARK,Motor Cycle,0,Y
WHITLEY ROAD / THOMSON ROAD HEAVY VEH PARK,Motor Cycle,0,Y
TOA PAYOH EAST,Motor Cycle,0,Y
TOA PAYOH WEST,Motor Cycle,6,Y
23 TO 27 TUAS AVENUE 13 (JTC),Motor Cycle,31,Y
TUAS AVENUE 1,Motor Cycle,0,Y
TUAS AVENUE 11,Motor Cycle,0,Y
TUAS AVENUE 12,Motor Cycle,0,Y
TUAS AVENUE 13,Motor Cycle,0,Y
TUAS AVENUE 18A,Motor Cycle,0,Y
TUAS AVENUE 3,Motor Cycle,0,Y
TUAS AVENUE 5,Motor Cycle,0,Y
TUAS AVENUE 7,Motor Cycle,0,Y
TUAS AVENUE 9,Motor Cycle,0,Y
TUAS BASIN CLOSE,Motor Cycle,0,Y
TUAS DRIVE 1,Motor Cycle,0,Y
TUAS DRIVE 2,Motor Cycle,0,Y
TUAS LANE,Motor Cycle,0,Y
TUAS LINK 2,Motor Cycle,0,Y
TUAS LINK 4,Motor Cycle,0,Y
TUAS ROAD,Motor Cycle,0,Y
TUAS ROAD (JTC),Motor Cycle,10,Y
TUAS SOUTH AVENUE 1,Motor Cycle,0,Y
TUAS SOUTH STREET 2,Motor Cycle,0,Y
TUAS SOUTH STREET 5 (JTC),Motor Cycle,10,Y
TUAS WEST AVENUE,Motor Cycle,0,Y
KAKI BUKIT AVENUE 4,Motor Cycle,0,Y
KAKI BUKIT PLACE,Motor Cycle,0,Y
KAKI BUKIT ROAD 1,Motor Cycle,0,Y
KAKI BUKIT ROAD 2,Motor Cycle,0,Y
KAMPONG UBI INDUSTRIAL ESTATE (JTC),Motor Cycle,13,Y
KIM CHUAN ROAD,Motor Cycle,0,Y
NEW INDUSTRIAL ROAD,Motor Cycle,0,Y
TAI SENG AVENUE,Motor Cycle,10,Y
TAI SENG DRIVE,Motor Cycle,3,Y
TAI SENG STREET,Motor Cycle,10,Y
UBI AVENUE 1,Motor Cycle,0,Y
UBI AVENUE 3,Motor Cycle,0,Y
UBI AVENUE 4,Motor Cycle,25,Y
UBI CRESCENT,Motor Cycle,0,Y
UBI LINK,Motor Cycle,0,Y
UBI ROAD 1,Motor Cycle,0,Y
UBI ROAD 2,Motor Cycle,16,Y
UBI ROAD 3,Motor Cycle,0,Y
UBI ROAD 4,Motor Cycle,0,Y
UBI VIEW,Motor Cycle,0,Y
CHEONG CHIN NAM ROAD,Motor Cycle,17,Y
JALAN SEH CHUAN OFF STREET,Motor Cycle,27,Y
JALAN SEH CHUAN/LORONG KILAT OFF STREET,Motor Cycle,0,Y
LORONG KILAT,Motor Cycle,0,Y
SERVICE ROAD OFF UPPER BUKIT TIMAH ROAD,Motor Cycle,13,Y
UPPER BUKIT TIMAH ROAD,Motor Cycle,0,Y
ANCHORVALE CRESCENT HEAVY VEHICLE PARK,Motor Cycle,0,Y
ANCHORVALE ROAD,Motor Cycle,0,Y
ANCHORVALE STREET,Motor Cycle,0,Y
BACKLANE OFF FARLEIGH AVENUE,Motor Cycle,18,Y
BACKLANE OFF SERANGOON GARDEN WAY,Motor Cycle,8,Y
BRIGHTON CRESCENT,Motor Cycle,10,Y
BURGHLEY DRIVE SPORTS COMPLEX (SSC),Motor Cycle,4,Y
FARLEIGH AVENUE,Motor Cycle,0,Y
FARLEIGH AVENUE OFF STREET,Motor Cycle,0,Y
KENSINGTON PARK ROAD OFF STREET,Motor Cycle,25,Y
KENSINGTON PARK ROAD SERVICE ROAD,Motor Cycle,5,Y
KOVAN ROAD,Motor Cycle,0,Y
LIM TUA TOW ROAD,Motor Cycle,0,Y
LIM TUA TOW ROAD OFF STREET,Motor Cycle,0,Y
MAJU AVENUE,Motor Cycle,0,Y
MAJU AVENUE SERVICE ROAD,Motor Cycle,0,Y
PENSHURST PLACE,Motor Cycle,0,Y
SANDOWN PLACE,Motor Cycle,0,Y
SERANGOON GARDEN MARKET OFF STREET,Motor Cycle,32,Y
SERANGOON GARDEN WAY,Motor Cycle,0,Y
SERANGOON GARDEN WAY SERVICE ROAD,Motor Cycle,0,Y
SERANGOON SPORTS COMPLEX (SSC),Motor Cycle,20,Y
SIMON ROAD SERVICE ROAD,Motor Cycle,18,Y
SOMMERVILLE WALK,Motor Cycle,0,Y
SUNSHINE TERRACE,Motor Cycle,0,Y
TAMPINES ROAD HEAVY VEHICLE PARK,Motor Cycle,0,Y
TAMPINES ROAD/HOUGANG AVE 7 HEAVY VEH PARK,Motor Cycle,0,Y
TECK CHYE TERRACE,Motor Cycle,0,Y
UPPER SERANGOON ROAD,Motor Cycle,6,Y
UPPER SERANGOON ROAD (BARTLEY RD JUNCTION),Motor Cycle,0,Y
CASUARINA ROAD,Motor Cycle,0,Y
JALAN KURAS OFF STREET,Motor Cycle,4,Y
JALAN LEBAN SERVICE ROAD,Motor Cycle,0,Y
OLD UPPER THOMSON ROAD,Motor Cycle,0,Y
OLD UPPER THOMSON ROAD OFF STREET,Motor Cycle,0,Y
SEMBAWANG HILLS FOOD CENTRE OFF STREET,Motor Cycle,0,Y
SERVICE ROAD OFF SIN MING ROAD,Motor Cycle,0,Y
TAGORE DRIVE,Motor Cycle,0,Y
TAGORE INDUSTRIAL AVENUE,Motor Cycle,0,Y
TAGORE LANE,Motor Cycle,6,Y
TAGORE ROAD,Motor Cycle,0,Y
UPPER THOMSON ROAD,Motor Cycle,0,Y
UPPER THOMSON ROAD (LAKEVIEW ESTATE),Motor Cycle,0,Y
UPPER THOMSON ROAD OFF STREET,Motor Cycle,0,Y
15 WOODLANDS LOOP / 22 WOODLANDS LINK (JTC),Motor Cycle,283,Y
MARSILING CRESCENT,Motor Cycle,0,Y
MARSILING CRESCENT HEAVY VEHICLE PARK,Motor Cycle,0,Y
RIVERSIDE ROAD,Motor Cycle,0,Y
WOODLANDS AVE 9 (WOODLANDS AVE 8/LINK),Motor Cycle,0,Y
WOODLANDS INDUSTRIAL PARK E 1,Motor Cycle,0,Y
WOODLANDS INDUSTRIAL PARK E 3,Motor Cycle,0,Y
WOODLANDS INDUSTRIAL PARK E 5,Motor Cycle,0,Y
WOODLANDS INDUSTRIAL PARK E 6,Motor Cycle,0,Y
WOODLANDS INDUSTRIAL PARK E 8,Motor Cycle,0,Y
WOODLANDS INDUSTRIAL PARK E 9,Motor Cycle,0,Y
WOODLANDS LINK,Motor Cycle,0,Y
WOODLANDS LOOP,Motor Cycle,0,Y
WOODLANDS SECTOR 1,Motor Cycle,0,Y
WOODLANDS TERRACE,Motor Cycle,0,Y
WOODLANDS WALK,Motor Cycle,0,Y
SERVICE ROAD OFF JALAN SELASEH,Motor Cycle,5,Y
GOODLINK PARK / JALAN MATA AYER OFF STREET,Motor Cycle,7,Y
YISHUN AVENUE 1,Motor Cycle,0,Y
"YISHUN AVENUE 1 (FROM BLK 433,LOTS SL1-SL88)",Motor Cycle,0,Y
YISHUN AVENUE 7,Motor Cycle,0,Y
YISHUN AVENUE 7 HEAVY VEHICLE PARK,Motor Cycle,0,Y
YISHUN INDUSTRIAL PARK A,Motor Cycle,14,Y
YISHUN SPORTS COMPLEX (SSC),Motor Cycle,40,Y
YISHUN SWIMMING COMPLEX (SSC),Motor Cycle,6,Y
